t,src,snk
t040, 36, 31
t040, 37, 1
t040, 37, 22
t040, 38, 22
t040, 38, 31
t040, 38, 36
t041, 1, 3
t041, 3, 13
t041, 3, 15
t041, 3, 22
t041, 3, 23
t041, 4, 29
t041, 4, 38
t041, 7, 26
t041, 8, 27
t041, 8, 28
t041, 10, 14
t041, 10, 22
t041, 10, 26
t041, 12, 17
t041, 14, 8
t041, 14, 33
t041, 15, 10
t041, 16, 1
t041, 16, 15
t041, 16, 25
t041, 16, 37
t041, 17, 38
t041, 19, 10
t041, 19, 13
t041, 19, 16
t041, 19, 37
t041, 22, 26
t041, 23, 14
t041, 25, 12
t041, 25, 18
t041, 25, 21
t041, 26, 13
t041, 26, 28
t041, 27, 8
t041, 27, 15
t041, 28, 7
t041, 28, 8
t041, 28, 11
t041, 28, 22
t041, 29, 37
t041, 30, 16
t041, 30, 27
t041, 31, 11
t041, 31, 33
t041, 32, 6
t041, 33, 1
t041, 33, 6
t041, 33, 7
t041, 34, 15
t041, 36, 31
t041, 37, 22
t041, 37, 39
t041, 38, 22
t041, 38, 32
t041, 38, 36
t042, 1, 3
t042, 1, 35
t042, 3, 22
t042, 3, 23
t042, 4, 29
t042, 4, 38
t042, 7, 24
t042, 7, 26
t042, 7, 32
t042, 8, 27
t042, 10, 9
t042, 10, 22
t042, 10, 24
t042, 11, 7
t042, 12, 17
t042, 13, 17
t042, 13, 26
t042, 14, 8
t042, 15, 20
t042, 15, 23
t042, 16, 15
t042, 16, 37
t042, 17, 38
t042, 19, 10
t042, 19, 16
t042, 19, 37
t042, 21, 24
t042, 23, 13
t042, 23, 14
t042, 25, 12
t042, 25, 14
t042, 25, 21
t042, 26, 13
t042, 26, 28
t042, 27, 15
t042, 28, 7
t042, 28, 8
t042, 28, 11
t042, 29, 1
t042, 29, 37
t042, 30, 16
t042, 30, 27
t042, 30, 31
t042, 31, 11
t042, 31, 27
t042, 31, 33
t042, 32, 6
t042, 33, 1
t042, 33, 6
t042, 33, 7
t042, 33, 38
t042, 34, 15
t042, 34, 31
t042, 36, 31
t042, 37, 22
t042, 37, 23
t042, 37, 39
t042, 38, 1
t042, 38, 22
t042, 38, 31
t042, 38, 32
t042, 38, 36
t042, 40, 22
t043, 1, 35
t043, 3, 23
t043, 4, 17
t043, 4, 29
t043, 4, 38
t043, 5, 2
t043, 7, 2
t043, 7, 24
t043, 7, 26
t043, 7, 32
t043, 7, 37
t043, 8, 27
t043, 10, 9
t043, 10, 12
t043, 10, 24
t043, 11, 7
t043, 12, 9
t043, 12, 17
t043, 13, 2
t043, 13, 17
t043, 13, 40
t043, 14, 17
t043, 15, 23
t043, 16, 15
t043, 16, 37
t043, 18, 7
t043, 19, 2
t043, 19, 10
t043, 21, 24
t043, 21, 26
t043, 23, 12
t043, 23, 13
t043, 23, 14
t043, 25, 14
t043, 25, 21
t043, 26, 17
t043, 26, 22
t043, 27, 15
t043, 28, 7
t043, 28, 8
t043, 29, 28
t043, 29, 37
t043, 30, 27
t043, 30, 31
t043, 31, 11
t043, 31, 27
t043, 31, 33
t043, 32, 6
t043, 32, 36
t043, 33, 1
t043, 33, 6
t043, 33, 7
t043, 33, 38
t043, 34, 15
t043, 34, 31
t043, 35, 1
t043, 36, 31
t043, 36, 35
t043, 37, 22
t043, 37, 23
t043, 37, 32
t043, 37, 39
t043, 38, 1
t043, 38, 11
t043, 38, 31
t043, 38, 32
t043, 38, 36
t043, 40, 27
t044, 1, 35
t044, 3, 23
t044, 3, 25
t044, 3, 40
t044, 4, 7
t044, 4, 17
t044, 4, 38
t044, 5, 2
t044, 6, 4
t044, 7, 24
t044, 7, 26
t044, 7, 32
t044, 7, 37
t044, 8, 27
t044, 10, 24
t044, 11, 7
t044, 11, 28
t044, 12, 3
t044, 12, 9
t044, 13, 2
t044, 13, 5
t044, 13, 17
t044, 13, 40
t044, 14, 1
t044, 14, 17
t044, 15, 2
t044, 15, 23
t044, 16, 15
t044, 16, 37
t044, 16, 38
t044, 17, 29
t044, 18, 2
t044, 18, 22
t044, 19, 2
t044, 19, 10
t044, 23, 3
t044, 23, 10
t044, 23, 12
t044, 23, 13
t044, 23, 14
t044, 23, 22
t044, 24, 6
t044, 26, 11
t044, 26, 17
t044, 26, 22
t044, 28, 6
t044, 29, 5
t044, 29, 6
t044, 29, 22
t044, 29, 28
t044, 30, 22
t044, 30, 27
t044, 30, 31
t044, 31, 33
t044, 32, 6
t044, 32, 19
t044, 32, 36
t044, 33, 38
t044, 34, 15
t044, 35, 1
t044, 35, 8
t044, 35, 34
t044, 36, 18
t044, 36, 31
t044, 36, 32
t044, 37, 22
t044, 37, 39
t044, 38, 1
t044, 38, 11
t044, 38, 31
t044, 38, 36
t044, 40, 27
t045, 1, 35
t045, 3, 18
t045, 3, 23
t045, 3, 25
t045, 3, 40
t045, 5, 2
t045, 5, 27
t045, 6, 2
t045, 6, 4
t045, 6, 7
t045, 7, 24
t045, 7, 26
t045, 8, 6
t045, 8, 27
t045, 8, 29
t045, 8, 39
t045, 10, 24
t045, 11, 7
t045, 11, 28
t045, 12, 3
