label, xcoord, ycoord, zcoord, clust10
127, 38.9692, 0.45815, 51.0485, 5
128, 44.636, 48.1841, 4.0753, 2
129, 35.626, 47.9695, 24.9618, 2
130, 38.041, 8.6639, 52.7049, 2
131, 38.8684, -1.4868, 58.2632, 5
132, 44.6929, 29.1929, 33.7786, 2
133, 29.4194, 37.5197, 37.1398, 2
134, 44.0065, 20.4337, 40.6861, 2
135, -17.6947, 33.9875, 47.8816, 2
136, -24.6929, -6.2756, 64.4331, 2
137, -20.75, 55.4375, 24.5469, 2
138, -23.1095, 60.2774, 2.9562, 2
139, -22.3289, 40.0537, 37.5034, 2
140, -16.8, -8, 74.8533, 2
141, -21.586, 2.8912, 62.7158, 2
142, -14.5333, 25.1509, 52.8561, 2
143, -14.2836, 51.0522, 31.8582, 2
144, -15.4286, 5.4622, 63.1429, 2
145, -14.6331, 42.6619, 41.5324, 2
146, -18.8729, 17.5739, 57.7182, 2
147, -19.8333, 61.9333, 10.5833, 2
148, -16.7845, 60.9052, 18.5345, 2
149, 27.0565, -0.57258, -18.8065, 2
150, -4.168, 52.752, 38.272, 2
151, -5.6976, 61.0537, 18.6439, 2
152, -6.3842, 33.1626, 55.0542, 2
153, -2.5479, 28.5205, 53, 2
154, -5.0095, 50.4669, 19.6719, 2
155, -5.6774, 26.6613, 40.3145, 2
156, -8.6214, 64.9515, 5.3139, 2
157, -5.5149, 44.2383, 48.017, 2
158, -6.8716, 60.8716, 27.4495, 2
159, -5.097, 57.3913, 7.4047, 2
160, -1.8988, 46.7082, 31.1051, 2
161, -3.7246, 36.6164, 36.118, 2
162, 9.9355, 66.1475, 6.5161, 2
163, 9.3978, 52.9814, 3.1524, 2
164, 7.1765, 48.1412, 38.6275, 2
165, 10.4404, 53.8349, 36.4954, 2
166, 7.1176, 57.4485, 15.7426, 2
167, 10.4261, 64.3304, 20.8087, 2
168, 7.4259, 27.9444, 48.5185, 2
169, 10.009, 34.0543, 56.6335, 2
170, 7.3475, 38.5254, 40.6695, 2
171, -13.7438, 55.3103, -14.601, 2
172, -14.7544, 25.9644, -21.1103, 2
173, -17.5812, 45.4957, -15.8718, 2
174, -21.0286, 61.4286, -6.3837, 2
175, 23.0988, 62.0237, -5.004, 2
176, 17.668, 25.9614, -21.3282, 2
177, 14.8644, 57.2627, -15.5763, 2
178, 16.8514, 42.3614, -20.008, 2
179, 22.6667, 62.3004, 2.7692, 2
180, 20.5196, 63.1667, 12.0098, 2
181, 23.7559, 25.3492, 51.0169, 2
182, 28.6068, 56.906, 12.3932, 2
183, 17.1832, 30.1603, 51.4733, 2
184, 17.6596, 59.4468, 19.5851, 2
185, 20.4551, 15.9401, 56.2216, 2
186, 18.9828, -8.7423, 70.1031, 2
187, 26.2599, 4.491, 60.361, 2
188, 18, 50.3789, 32.4842, 2
189, 22.988, 37.9518, 37.4378, 2
190, 16.7574, 41.7872, 38.9106, 2
191, 20, 53.2081, 25.401, 2
192, 19.7046, 38.1435, 45.4008, 2
193, 18.7481, 3.8741, 63.0667, 2
194, 29.2476, -6.1254, 65.0408, 2
195, -26.7328, -76.7414, -12.5776, 2
196, -29.2953, -56.7248, -14.4832, 2
197, -25.8182, -41.7121, -14.697, 2
198, -39.5507, -51.9058, -17.8768, 2
199, -27.8498, -9.5731, -37.0751, 2
200, -29.634, -27.7106, -25.7787, 2
201, -27.9819, -0.88688, -38.6968, 2
202, -36.5856, -31.4905, -22.8821, 2
203, -37.4457, -67.7678, -14.382, 2
204, 29.3644, -63.6017, -10.161, 2
205, 32.2518, -44.8777, -12.0647, 2
206, 32.6547, -9.6592, -38.287, 2
207, 27.7978, -52.7416, -16.2322, 2
208, 35.5152, -32.6061, -23.8923, 2
209, 28.0565, -77.5484, -10.379, 2
210, 39.4248, -21.2655, -26.4159, 2
211, 31.8714, 0.52143, -39.4643, 2
212, 40.6204, -62.0185, -17.6019, 2
213, 40.6478, -42.6154, -20.6721, 2
214, -42.3467, -20.0356, 8.6756, 2
215, 45.8795, -18.1446, 9.0442, 2
216, -19.3495, -33.5631, -0.58252, 2
217, -29.7615, -31.6881, -6.7706, 2
218, -20.6667, -11.0206, -18.9959, 2
219, -30.3472, -14.9811, -16.5962, 2
220, -38.0952, -63.9444, 42.8651, 2
221, -47.5475, -61.81, 25.3665, 2
222, -42.8033, -62.9098, 38.8033, 2
223, -49.5164, -55.8934, 31.2787, 2
224, -44.7547, -66.3208, 31.6321, 2
225, 22.2679, -31.7225, -1.5024, 2
226, 33.2985, -13.0821, -16.2537, 2
227, 26.6111, -11.9921, -18.9683, 2
228, 32.7097, -30.8756, -6.9217, 2
229, -40.3616, -5.2177, 1.0258, 2
230, -35.3482, -18.8036, 10.25, 2
231, -31.5238, 23.3114, 1.3846, 2
232, -31.9487, 14.8864, 9.3187, 2
233, -35.6094, 14.1751, -6.3502, 2
234, -36.0891, -4.2186, 13.1822, 2
235, -37.0623, 7.8315, -10.3663, 2
236, 37.2016, 23.8735, 0.19763, 2
237, 33.4864, 16.8716, -13.9844, 2
238, 40.3333, 13.2074, 0.28148, 2
239, 40.8775, 7.0909, 1.0198, 2
240, 42.8352, -5.7318, -3.5709, 2
241, 39.9316, -3.8547, 10.4188, 2
242, 36.2149, -18.3967, 12.9917, 2
243, -7.0961, -78.4626, -3.8932, 2
244, -15.8228, -88.0675, -14.962, 2
245, -19.9189, -68.4459, -2.8041, 2
246, -20.309, -90.2918, -13.3906, 2
247, -6.1509, -68.2792, 1.9547, 2
248, -12.8498, -49.7656, -2.5788, 2
249, -17.8493, -64.0342, -9.2329, 2
250, -20.211, -44.3853, -5.1101, 2
251, 17.6134, -49.2937, -0.38662, 2
252, 10.4083, -67.0104, 1.9931, 2
253, 16.1311, -77.423, -9.6459, 2
254, 22.2687, -82.3806, -9.0299, 2
255, 24.3023, -94.5349, -13.6628, 2
256, 10.8288, -66.8699, -6.5548, 2
257, 10.3636, -46.9626, -1.1872, 2
258, 20.5122, -47.8455, -7.0325, 2
259, 14.7721, -81.1397, -3.2721, 2
260, -46.7109, -67.2607, -13.2038, 2
261, -23.0204, -93.2327, -8.7837, 2
262, -42.6814, -73.8407, -6.1062, 2
263, -35.4749, -81.668, -8.9035, 2
264, 44.2941, -72.3897, -12.4559, 2
265, 29.0046, -94.7671, -6.0457, 2
266, 34.867, -87.2961, -11.133, 2
267, 41.2453, -81.1019, -5.9925, 2
268, -24, -94.2342, 8.1081, 2
269, -25.9114, -88.9668, 15.941, 2
270, -33.767, -86.8252, 6.7282, 2
271, -38.7111, -81.7689, 10.3733, 2
272, -43.2555, -73.8864, 1.0978, 2
273, -42.5605, -73.6497, 15.0764, 10
274, -16.75, -100.6136, 3.3409, 2
275, -21.4969, -93.9497, -2.2893, 2
276, -27.3227, -78.23, 31.4633, 2
277, -37.3652, -73.2082, 28.5119, 2
278, -32.2318, -73.2848, 34.9007, 2
279, -34.6283, -81.8319, 20.7876, 2
280, -33.0894, -85.935, -1.2033, 2
281, 38.536, -80.904, 19.648, 2
282, 30.2305, -91.2565, 10.342, 2
283, 43.2599, -77.4009, 3.7093, 2
284, 40.7521, -79.7934, 11.9587, 2
285, 31.5927, -82.64, 25.1055, 2
286, 34.2991, -90.972, 2.486, 2
287, 35.7546, -76.6074, 34.2515, 2
288, 43.261, -71.5322, 26.6915, 2
289, -12.9705, -95.3924, 9.2321, 2
290, -14.9153, -87.2814, 20.8881, 2
291, -16.3284, -83.3507, 31.1343, 2
292, -17.1565, -79.0927, 40.6262, 2
293, -22.4111, -84.9565, 28.7431, 2
294, 45.688, -59.272, 43.616, 2
295, 42.9623, -67.4226, 37.1046, 2
296, 48.0553, -63.2253, 32.3794, 2
297, 34.6838, -67.8462, 44.9231, 2
298, 50.9213, -57.5431, 26.3296, 2
299, 38.7177, -62.879, 46.9919, 2
300, 53.9387, -51.8314, 31.4789, 2
